title,description,link,type
Gale In Context: High School,A collection of databases designed to help high school students with a variety of school assignments.,https://www.slcl.org/resources/gale-in-context-high-school,Subscription Database
Gale in Context: U.S. History,Covers people and events of historical significance in American history from Pre-Columbian America forward.,https://www.slcl.org/resources/gale-in-context-us-history,Subscription Database
Gale OneFile: Health and Medicine,"Integrates the full text of respected nursing, allied health and medical journals; consumer health magazines; newsletters topical overviews; and reference books.",https://www.slcl.org/resources/gale-onefile-health-medicine,Subscription Database
Guidestar,"Search for charitable status, explore comprehensive profiles of over 2 million nonprofits, and research outstanding partnership opportunities and best practices to aid strategic planning.",https://www.slcl.org/resources/guidestar,Subscription Database
Gun Regulation and Legislation in America (HeinOnline),Database brings together essential documents on the difficult and controversial topic of regulating firearms in the United States.,https://www.slcl.org/resources/gun-regulation-and-legislation-america,Subscription Database
Headspace,"Meditation and mindfulness techniques available online so more people can experience the benefits of meditation anytime, anywhere.",https://www.slcl.org/resources/headspace,Subscription Database
HeinOnline,Full-text law-related subject and title collections that are image-based and fully searchable.,https://www.slcl.org/resources/heinonline,Subscription Database
HeritageHub,Explore your family history with the premier collection of U.S. obituaries and death notices for in-depth genealogical research from 1704 – today.,https://www.slcl.org/resources/heritagehub,Subscription Database
HeritageQuest Online,"Access U.S. Census records from 1790 to 1940, full text of local and family history books, Revolutionary War Pension & Bounty-Land Warrant applications, and Freedman's Bank records.",https://www.slcl.org/resources/heritagequest-online,Subscription Database
Hispanic Life in America,"Includes more than 17,000 global news sources and over 700 Spanish-language or bilingual publications dating from 1704 to today.",https://www.slcl.org/resources/hispanic-life-america,Subscription Database
Historical New York Times,"Access historical issues of the New York Times through our regular NYT Subscription and accessing the TimesMachine, which has access from 1851-2002.",https://www.slcl.org/resources/historical-new-york-times,Subscription Database
Historical St. Louis Post-Dispatch,Searchable full text and full image articles from the St. Louis Post-Dispatch newspaper from 1874-2003. [ProQuest],https://www.slcl.org/resources/historical-st-louis-post-dispatch,Subscription Database
History Commons,The History Commons is a website and organization that documents events and issues of great social and political significance via detailed timelines.,https://www.slcl.org/resources/history-commons,Subscription Database
HistoryGeo,HistoryGeo provides a searchable database of 12.3 million names connected to land ownership maps covering the 29 public land states and Texas.,https://www.slcl.org/resources/historygeo,Subscription Database
Home Improvement Source,Provides assistance for improvement projects inside and outside the home. [EBSCO],https://www.slcl.org/resources/home-improvement-source,Subscription Database
Independent News,"Searchable full text access to this weekly newspaper featuring community news, events, and announcements for the Florissant Valley area, including Black Jack, Florissant, Hazelwood, and Spanish Lake.",https://www.slcl.org/resources/independent-news,Subscription Database
LawDepot,"Explore LawDepot's library of easy-to-use templates to create personalized legal forms for nearly every aspect of life and business, tailored to your state or province and personal situation.",https://www.slcl.org/resources/lawdepot,Subscription Database
Lexia Core5 Reading (Grades Pre-K-5),"Supports learners in grades Pre-K–5 by developing foundational literacy skills. Lexia Learning provides personalized, adaptive instruction to help learners build critical reading and literacy skills at every level. Through interactive lessons and targeted practice, learners strengthen abilities such as: phonological awareness and phonics, vocabulary development, decoding and spelling, grammar and written communication, reading fluency, and comprehension and higher-order thinking.",https://www.slcl.org/resources/lexia/core5-reading,Subscription Database
Lexia PowerUp Literacy (Grades 6-12),"Helps learners in grades 6–12 close reading gaps and advance their literacy skills for academic and career success. Lexia Learning provides personalized, adaptive instruction to help learners build critical reading and literacy skills at every level. Through interactive lessons and targeted practice, learners strengthen abilities such as: phonological awareness and phonics, vocabulary development, decoding and spelling, grammar and written communication, reading fluency, and comprehension and higher-order thinking.",https://www.slcl.org/resources/lexia/powerup-literacy,Subscription Database
Library Literature & Information Science Full Text,"Indexes and abstracts library and information science periodicals, monographs, selected state library journals, conference proceedings, library school theses, and pamphlets. [H.W. Wilson]",https://www.slcl.org/resources/library-literature-information-science-full-text,Subscription Database
LISTA,"LISTA (Library, Information Science & Technology Abstracts) covers magazine articles, books entries, reports, and proceedings addressing subjects in library and information science. [EBSCOhost]",https://www.slcl.org/resources/lista,Subscription Database
LOTE4Kids,Allows kids to learn a language and connect with books through the magic of storytelling.,https://www.slcl.org/resources/lote4kids,Subscription Database
MAS Ultra - School Edition,"Full-text database for popular high school magazines covering a wide range of subject areas including history, science, careers and more.",https://www.slcl.org/resources/mas-ultra-school-edition,Subscription Database
MasterFILE Premier,"Full text access to periodicals covering a variety of topics. Includes content taken from reference books, biographies, primary source documents, and an image collection of over a 100,000 photos, maps, and flags. [EBSCO]",https://www.slcl.org/resources/masterfile-premier,Subscription Database
MEDLINE,"Authoritative medical database containing citations and abstracts for biomedical and health journals used by healthcare professionals, nurses, clinicians and researchers.",https://www.slcl.org/resources/medline,Subscription Database
Middle Search Plus,"Full-text database providing popular middle school magazines and reference books covering subjects such as history, current events, science and sports.",https://www.slcl.org/resources/middle-search-plus,Subscription Database
Missouri Digital Heritage,Access a rich archive of information about the history of Missouri and local communities. Included are educational resources like classroom curricula accessible through this website.,https://www.slcl.org/resources/missouri-digital-heritage,Subscription Database
Morningstar Investment Research Center,"Search over 30,000 stocks, mutual funds, and ETFs to determine where to invest your money.",https://www.slcl.org/resources/morningstar-investment-research-center,Subscription Database
MyHeritage (Available in History & Genealogy only - see librarian),"Access historical documents, photos, and other resources that span the past five centuries from the US, Europe, Latin America, and other areas.  Library card required to use.",https://www.slcl.org/resources/myheritage-library-edition,Subscription Database
New York Times Cooking,A digital cookbook and cooking guide that helps home cooks discover the world’s best recipes and become better cooks. (nytimes.com),https://www.slcl.org/resources/new-york-times-cooking,Subscription Database
New York Times Games,"New York Times Games includes Wordle, daily crossword and crossword mini, Spelling Bee, Sudoku, and more. (nytimes.com)",https://www.slcl.org/resources/new-york-times-games,Subscription Database
New York Times Online,"New York Times Online (NYTimes.com) provides free access to the New York Times and International New York Times content, including breaking news articles, reviews, blogs, videos, and more. There are two different ways to access NYTimes.com depending on if you are inside or outside the Library. For both onsite or offsite access, you need to sign up for a free account using a valid email address.",https://www.slcl.org/resources/new-york-times-online,Subscription Database
News For You,Easy to read and understand news and human interest stories for adult ESL students and struggling readers.,https://www.slcl.org/resources/news-for-you,Subscription Database
NewsBank,"Searchable full text and index of many U.S. and international newspapers, including print and online-only resources.",https://www.slcl.org/resources/newsbank,Subscription Database
Newspaper Source,"Cover-to-cover full-text for hundreds of national, international and regional newspapers as well as television and radio news transcripts from major networks.",https://www.slcl.org/resources/newspaper-source,Subscription Database
NewspaperARCHIVE.com,Newspaper Archive is a large historical newspaper database containing tens of millions of newspaper pages from 1759 to present.,https://www.slcl.org/resources/newspaperarchivecom,Subscription Database
Newspapers.com,"Database offering more than 10,000 digitized newspaper titles for the U.S., Canada, Australia, Ireland, the British Isles and Panama.",https://www.slcl.org/resources/newspapers-com,Subscription Database
Niche Academy Video Tutorials,"Collection of how-to video tutorials to learn how to use the Library's research databases, eMedia, and social media.",https://www.slcl.org/resources/niche-academy-video-tutorials,Subscription Database
Nineteenth Century U.S. Newspapers,Primary source 19th century newspaper content from urban and rural region newspapers throughout the U.S.,https://www.slcl.org/resources/nineteenth-century-us-newspapers,Subscription Database
North Side Journal,"Searchable full text coverage of local news and community-submitted content from North County, including births, engagements, and community events.",https://www.slcl.org/resources/north-side-journal,Subscription Database
NoveList Plus,"A searchable database of fiction and nonfiction titles with book reviews, recommended reading lists and discussion guides.",https://www.slcl.org/resources/novelist-plus,Subscription Database
Opposing Viewpoints,Information from many sources on popular research topics for students. [Gale in Context],https://www.slcl.org/resources/opposing-viewpoints,Subscription Database
Peterson's Test and Career Prep,"Use Peterson’s Test and Career Prep to search thousands of college and graduate school entries, identify scholarships, and access online practice tests and eBooks for exam preparation. This resource also provides career tools, resume builders, and study guides for exams like SAT, ACT, GRE, NCLEX, and more. [Gale]",https://www.slcl.org/resources/petersons-test-and-career-prep,Subscription Database
Primary Search,"Popular children’s magazines, easy-to-read encyclopedic entries and a vast image collection.",https://www.slcl.org/resources/primary-search,Subscription Database
Professional Development Collection,Highly specialized database of full-text electronic information.,https://www.slcl.org/resources/professional-development-collection,Subscription Database
ProQuest Global Newsstream,"Global Newsstream enables users to search the most recent global news, and has one of the largest collections of news from the US, Canada, Europe, Africa, Asia, Latin America, and Australia.",https://www.slcl.org/resources/proquest-global-newsstream,Subscription Database
ProQuest US Newsstream,"Full text access to the Chicago Tribune, Christian Science Monitor, New York Times, St. Louis Post–Dispatch, Wall Street Journal, Washington Post, USA Today and more.",https://www.slcl.org/resources/proquest-us-newsstream,Subscription Database
Qikan,"Collection of Chinese language journals appealing to adults, teens, and children.",https://www.slcl.org/resources/qikan,Subscription Database
Read It!,For middle and high school students and adults who have a basic foundation in English grammar and reading but need adapted reading material for a variety of subjects.,https://www.slcl.org/resources/read-it,Subscription Database
Reference Solutions,"Directory with millions of listings for businesses, residents, new movers, and consumers across the U.S.",https://www.slcl.org/resources/reference-solutions,Subscription Database
Salem Health,"Online access to Magill’s Medical Guide, Salem Health: Cancer, and Salem Health: Psychology and Mental Health.",https://www.slcl.org/resources/salem-health,Subscription Database
Salem History,"Online access to Great Athletes, Decades: 1960s in America, Great Events: Ancient World, and Great Lives: Ancient World.",https://www.slcl.org/resources/salem-history,Subscription Database
Salem Literature,Online access to Magill's Literary Annuals.,https://www.slcl.org/resources/salem-literature,Subscription Database
Salem Science,Online access to The Solar System.,https://www.slcl.org/resources/salem-science,Subscription Database
SAMS Photofact Online,Offers repair manuals and schematics for electronics.,https://www.slcl.org/resources/sams-photofact-online,Subscription Database
Scholastic Teachables,Thousands of searchable and printable educational materials for Pre-K through 8th grade.,https://www.slcl.org/resources/scholastic-teachables,Subscription Database
Science Reference Source,"Contains full-text for hundreds of science magazines, journals, encyclopedias, reference books, videos, animations and lesson plans.",https://www.slcl.org/resources/science-reference-source,Subscription Database
Simply Analytics,"Web-based mapping application that lets users create professional-quality thematic maps and reports using demographic, business, health, and marketing data.",https://www.slcl.org/resources/simply-analytics,Subscription Database
"Slavery in America and the World: History, Culture, and Law (HeinOnline)",Brings together a multitude of essential legal materials on slavery in the United States and the English-speaking world. [HeinOnline],https://www.slcl.org/resources/slavery-in-america-and-the-world,Subscription Database
Small Business Source,"Online access to NOLO ebook titles such as The Employer's Legal Handbook, Complete Guide to Selling a Business, Every Nonprofit's Tax Guide, Working With Independent Contractors, and more.",https://www.slcl.org/resources/small-business-source,Subscription Database
Small Engine Repair Source,"Repair and maintenance information for small engines such as motorcycles, boats and lawn mowers.",https://www.slcl.org/resources/small-engine-repair-source,Subscription Database
South County Journal,Searchable full text coverage of local news and community-submitted content from South County.,https://www.slcl.org/resources/south-county-journal,Subscription Database
Southwest County Journal,Searchable full text database of local news and community-submitted content from South and West St. Louis County.,https://www.slcl.org/resources/southwest-county-journal,Subscription Database
St. Louis Business Journal Home Access,"Full digital access to all St. Louis Business Journal’s daily editorial content, the St. Louis Business Journal Weekly Edition, the Business Journal Book of Lists, and much more.",https://www.slcl.org/resources/st-louis-business-journal-home-access,Subscription Database
St. Louis Globe Democrat Morgue,"An index to the more than 10,000 newspaper clippings filed by the newspaper and donated to the Mercantile Library in 1986. [Mercantile Library]",https://www.slcl.org/resources/st-louis-globe-democrat-morgue,Subscription Database
St. Louis Post-Dispatch Collection,"Explore St. Louis history through local news, events and people with St. Louis Post-Dispatch Collection. [Newsbank]",https://www.slcl.org/resources/st-louis-post-dispatch-collection,Subscription Database
Teacher Reference Center,Indexes and abstracts teacher and administrative trade journals. [EBSCO],https://www.slcl.org/resources/teacher-reference-center,Subscription Database
TeachingBooks,Multimedia resources to explore children's and young adult books and their authors.,https://www.slcl.org/resources/teachingbooks,Subscription Database
Teen Health & Wellness,"Provides middle and high school students with up-to-date, nonjudgmental, straightforward curricular and self-help support.",https://www.slcl.org/resources/teen-health-wellness,Subscription Database
The Athletic,"The Athletic, a New York Times company, delivers in-depth sports coverage of your favorite teams and leagues. Access includes everything from breaking news and live commentary to long-form features, exclusive interviews, podcasts, and more. (nytimes.com)",https://www.slcl.org/resources/the-athletic,Subscription Database
The Kansas City Star Collection,Explore Kansas City history through local news.,https://www.slcl.org/resources/kansas-city-star,Subscription Database
The Telegraph Collection,"Explore Alton, IL history through local news, events and people with The Telegraph Collection. [Newsbank]",https://www.slcl.org/resources/the-telegraph-collection,Subscription Database
Tipasa (formerly WorldCat Discovery),"Search for books, ebooks, periodicals, government documents, manuscripts, maps, audiovisual materials, music scores, and collections of digital items in libraries around the World.",https://www.slcl.org/resources/tipasa,Subscription Database
Transparent Language,"Online language-learning resource that builds listening, reading, speaking, and writing skills.",https://www.slcl.org/resources/transparent-language,Subscription Database
Treehouse,"Treehouse is an online learning platform that teaches coding and web development skills, such as HTML, CSS, JavaScript, and PHP.",https://www.slcl.org/resources/treehouse,Subscription Database
U.S. Hispanic Newsstream,Offers access to the largest collection of leading Hispanic newspapers.,https://www.slcl.org/resources/us-hispanic-newsstream,Subscription Database
USA Today Collection,"Offers breaking news, entertainment, sports, and business coverage. [Newsbank]",https://www.slcl.org/resources/usa-today,Subscription Database
Value Line,"Investment newsletter that profiles companies activity traded on the NYSE, AMEX, and NASDAQ stock exchanges and speculates on their future performance.",https://www.slcl.org/resources/value-line,Subscription Database
Wall Street Journal,"Provides news and analysis on business, economics, and global markets.",https://www.slcl.org/resources/wall-street-journal,Subscription Database
Washington Post,"Coverage of national politics, policy, and investigative reporting.",https://www.slcl.org/resources/washington-post,Subscription Database
Women's Studies,"Discover manuscripts, newspapers, periodicals and more that demonstrate the foundation of women's struggles and triumphs. [Gale Primary Sources]",https://www.slcl.org/resources/womens-studies,Subscription Database
World Book,Access the classic World Book encyclopedia online for easy searching and learning.,https://www.slcl.org/resources/world-book,Subscription Database
World Book Advanced,"Designed to support personalized learning with trusted encyclopedia articles, and global newspapers and government websites.",https://www.slcl.org/resources/world-book-advanced,Subscription Database
World Book Student,"Thousands of articles and multimedia with interactive maps, daily current events, assessment tools for educators and a detailed biography center.",https://www.slcl.org/resources/world-book-student,Subscription Database
World Book Timelines,Investigate the chronological significance of world events and the lives of notable historical figures using hundreds of interactive timeliness.,https://www.slcl.org/resources/world-book-timelines,Subscription Database
World History,"Collection of primary sources, reference works, and scholarly journals providing materials for the study of World History. [Gale in Context]",https://www.slcl.org/resources/world-history,Subscription Database
WorldCat Advanced Search,"Contains catalog records for books, web resources, maps, musical scores, video tapes and journals. [FirstSearch]",https://www.slcl.org/resources/worldcat-firstsearch,Subscription Database
WorldCat Discovery (Tipasa),"Search for books, ebooks, periodicals, government documents, manuscripts, maps, audiovisual materials, music scores, and collections of digital items in libraries around the World.",https://www.slcl.org/resources/worldcat-discovery,Subscription Database
