title,description,link,type
Classical String Quartets,"The David M. Rubenstein Rare Book & Manuscript Library at Duke University has about forty collections of string quartets in parts dating from this time (about 1770-1840), most, though not all complete, and representing composers whose works are rarely found in modern editions.",https://www.slcl.org/resources/classical-string-quartets,Website
Classics for Kids,"A website for learning about classical music, including audio clips, podcasts, encyclopedia and dictionary entries, quizzes, games, compositional activities, worksheets, timelines, and lesson plans.",https://www.slcl.org/resources/classics-kids,Website
Code of Federal Regulations (CFR),Search by keyword or citation to retrieve current rules and regulations that are used and relied upon by agencies in performing their activities and functions.,https://www.slcl.org/resources/code-federal-regulations,Website
Columbia Daily Tribune,Access the Columbia Daily Tribune back to 1998 in text or view the current image edition.  [Newsbank],https://www.slcl.org/resources/columbia-daily-tribune,Subscription Database
Common Sense Education,"Find media literacy lesson plans/activities, and reviews of teacher resources.",https://www.slcl.org/resources/common-sense-education,Website
Compilation of Presidential Documents,"Provides access to the official compilation of the President's addresses, writings, and remarks.",https://www.slcl.org/resources/compilation-presidential-documents,Website
Computer Skills Center,"Find video lessons on many Microsoft products including Windows 7/10, Microsoft OneDrive, Microsoft Office 365 apps and several versions of Word, Excel, Access, and others.  [Learning Express Library]",https://www.slcl.org/resources/computer-skills-center,Subscription Database
Congress.gov,"The official website for U.S. federal legislative information, with access to accurate, timely, and complete legislative information for Members of Congress, legislative agencies, and the public.",https://www.slcl.org/resources/congress-gov,Website
Congressional Directory,Official Congressional Directory containing biographical information on members of Congress (2007-to the present) along with office listings and standing committees.,https://www.slcl.org/resources/congressional-directory,Website
Congressional Record,Access to the proceedings and debates of the United States Congress (1994-present). It is published daily when Congress is in session.,https://www.slcl.org/resources/congressional-record,Website
Conjuguemos,"Learn languages through fun activities and games. Languages include Spanish, French, German, Italian, Portuguese, Korean, and Latin.",https://www.slcl.org/resources/conjuguemos,Website
Constitution of the United States of America: Analysis and Interpretation,"Contains legal analysis and interpretation of the United States Constitution, based primarily on Supreme Court case law.",https://www.slcl.org/resources/us-constitution-analysis-and-interpretation,Website
Constitution of the United States of America: Analysis and Interpretation Editions and Supplements,"Access to historical editions and supplements of the Constitution of the United States of America:  Analysis and Interpretation from 1992 forward.  Contains legal analysis and interpretation of the United States Constitution, based primarily on Supreme Court case law.",https://www.slcl.org/resources/us-constitution-analysis-and-interpretation-supplements,Website
Consumer Health Complete,"Covers all key areas of health and wellness, from mainstream medicine to the many perspectives of complementary and holistic medicine.",https://www.slcl.org/resources/consumer-health-complete,Subscription Database
Consumer Reports,Access full-text articles (1991 to present) from Consumer Reports. [MasterFILE Premier/EBSCO],https://www.slcl.org/resources/consumer-reports,Subscription Database
Consumer Reports Buying Guides,Access full-text articles from 1999 to present from Consumer Reports Buying Guides. [MasterFILE Premier/EBSCO],https://www.slcl.org/resources/consumer-reports-buying-guides,Subscription Database
Cool Math,"Free online math lessons, games and apps.",https://www.slcl.org/resources/cool-math,Website
Cool Math 4 Kids,Mini lessons and games on a variety of math subjects.,https://www.slcl.org/resources/cool-math-for-kids,Website
Coursera,"Supercharge your future with the hottest tech skills on the market! St. Louis County Library, in partnership with TechSTL, is launching a new online learning platform called Coursera.  As a training partner for TechSTL, we will offer full scholarships to Coursera and Grow with Google Certificates covering popular tech skills. Scholarships will be available through December 2027. Anyone with a valid library card can request a scholarship to get free access to Coursera and Grow with Google.",https://www.slcl.org/resources/coursera,Website
Criminal Justice Resource Ecosystem Map - St. Louis Region,"The St. Louis region has many organizations focused on criminal justice resources, including resources that are open to everyone in the community for information or services as well as those with closed or internal referral processes.",https://www.slcl.org/resources/criminal-justice-resource-ecosystem-map-st-louis-region,Website
Culinary Arts Collection,"Includes major cooking and nutrition magazines. Coverage includes thousands of searchable recipes, restaurant reviews, and industry information.",https://www.slcl.org/resources/culinary-arts-collection,Subscription Database
D&B Hoovers,Offers in-depth financial comparisons and analysis of over 85 million public and private companies.,https://www.slcl.org/resources/db-hoovers,Subscription Database
D&B Key Business Ratios,"Provides 14 key business ratios covering solvency, efficiency, and profitability over a three-year period.",https://www.slcl.org/resources/db-key-business-ratios,Subscription Database
Dagger Awards,The Crime Writers Association presents the Dagger Awards for outstanding works in both fiction and nonfiction crime genres.,https://www.slcl.org/resources/dagger-awards,Website
Daily Compilation of Presidential Documents,"Consists of the Weekly Compilation of Presidential Documents and the Daily Compilation of Presidential Documents (1993-present) which are the official publications of materials released by the White House Press Secretary. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA).",https://www.slcl.org/resources/daily-compilation-presidential-documents,Website
Dictionary,"Provides definitions, how to say the word (often with sound) and where the word comes from.",https://www.slcl.org/resources/dictionary,Website
Digital Civics Toolkit,"A collection of resources for educators to support youth to explore, recognize, and take seriously the civic potentials of digital life. Intended for grades 7-12.",https://www.slcl.org/resources/digital-civics-toolkit,Website
Digital Learn,Find tools to help you tackle technology at your own pace and gain the confidence you need to succeed.,https://www.slcl.org/resources/digital-learn,Website
Digital Literacy,Empowers learners in grade levels 7-12 with digital citizenship skills through interactive activities and articles.,https://www.slcl.org/resources/digital-literacy,Subscription Database
Dinosaurs,"Natural History Museum's guide to hundreds of dinosaurs which includes timeline, behavior, abilities and lifestyles, and their extinction. (London, United Kingdom)",https://www.slcl.org/resources/dinosaurs,Website
DocInfo,A free resource for consumers from the Federation of State Medical Boards. Provides physician licensure and disciplinary data.,https://www.slcl.org/resources/docinfo,Website
DOGO News,Articles and current events for kids.,https://www.slcl.org/resources/dogo-news,Website
Dorothy,"Named for prominent Dorothys, this database collects production details for films and television programs mainly produced since 2010. Projects directed or created by women and key topics in gender and women's studies are central to this expanding resource curated for diversity.",https://www.slcl.org/resources/dorothy,Website
Drivingtests.org,"Drivingtests.org provides access to the following state-specific information: car practice tests, motorcycle practice tests, CDL (Commercial Driver’s License) practice tests, online driver’s manuals (car, motorcycle, CDL), and an FAQ section with detailed answers to 100+ DMV-related questions.",https://www.slcl.org/resources/drivingtests-org,
eBooks on EBSCOhost,"Search the full text of over 4,200 fiction and nonfiction ebook titles.",https://www.slcl.org/resources/ebooks-ebscohost,
EBSCOhost Web,"Gateway access to general interest, health care, and children's magazine databases.",https://www.slcl.org/resources/ebscohost-web,Subscription Database
Econ Lowdown,An award-winning free economic education portal for teachers and students.,https://www.slcl.org/resources/econ-lowdown,Website
Economic Indicators,"Provides economic information (1995 to the present) on gross domestic product, income, employment, production, business activity, prices, money, credit, security markets, federal finance, and international statistics.",https://www.slcl.org/resources/economic-indicators,Website
Economic Report of the President,Annual report written by the Chairman of the Council of Economic Advisers. It provides overviews of the nation's economic progress using text and extensive data appendices. (1996 to the present),https://www.slcl.org/resources/economic-report-of-the-president,Website
Edgar Awards,"These awards are presented by the Mystery Writers of America and are named after Edgar Allen Poe, considered to be the author of the first detective stories.",https://www.slcl.org/resources/edgar-awards,Website
EDSITEment!,"Lesson plans, student activities, and teacher guides for students in kindergarten through 12th grade from the National Endowment for the Humanities.",https://www.slcl.org/resources/edsitement,Website
EdX,Access free courses on a variety of subjects from major universities around the world.,https://www.slcl.org/resources/edx,Website
Ellis Island,Passenger list records covering the years of 1892-1924.,https://www.slcl.org/resources/ellis-island,Website
Enciclopedia Estudiantil Hallazgos,Spanish language version of World Book's Student Discovery Encyclopedia.,https://www.slcl.org/resources/enciclopedia-estudiantil-hallazgos,Subscription Database
Energy Basics,"Explains energy concepts, periodic table, and has an energy calculator.",https://www.slcl.org/resources/energy-basics,Website
ePopUp Library,"By simply scanning a QR code, users get immediate access to thousands of popular digital books and audiobooks. There is no library card required and materials are available for 7-days.  ePopUp Library is available at select MetroLink locations through Bi-State Development, St. Louis County government offices, Schnucks stores and St. Louis Lambert International Airport.  The ePopUp Library children’s collection is available at HavenHouse St. Louis, Mercy Kids, Ranken Jordan Pediatric Bridge Hospital, Ronald McDonald House Charities, Shriners Children’s St. Louis, SSMHealth Cardinal Glennon Children’s Hospital, and St. Louis Children’s Hospital.",https://www.slcl.org/resources/epop-up-library,
ERIC,ERIC (Education Resources Information Center) is a freely available Web database made up of education-related reports and journal articles published from 1966 to the present. Free and accessible anywhere.,https://www.slcl.org/resources/eric,Subscription Database
Explora - Educators Edition,"Find more than 2100 full text scholarly journals and over 1700 peer-reviewed, full-text journals. Collection provides focus on education by providing full text for over 500 high-quality educational journals.  [EBSCO]",https://www.slcl.org/resources/explora-educators-edition,Subscription Database
Explora - Elementary,Designed specifically for elementary school students according to their needs and search abilities. Includes topic overview that provide students with a starting point for research and top videos from the Associated Press. [EBSCO],https://www.slcl.org/resources/explora-elementary,Subscription Database
Explora - General Research and eBooks,Designed specifically for general research in a public library. Includes topic overviews that provide a starting point for research and top videos from the Associated Press. [EBSCO],https://www.slcl.org/resources/explora-general-research-and-ebooks,Subscription Database
Explora - High School,Designed specifically for middle school and high school students according to their needs and search abilities. Includes topic overviews that provide students with a starting point for research and top videos from the Associated Press. [EBSCO],https://www.slcl.org/resources/explora-high-school,Subscription Database
Explore Census Data,"Access demographic, economic and population data from the U.S. Census Bureau. Explore census data with visualizations and tutorials.",https://www.slcl.org/resources/explore-census-data,Website
Factile,Create or play existing Jeopardy boards on a variety of educational topics.,https://www.slcl.org/resources/factile,Website
FamilySearch,Get access to a growing collection of databases of digitized records for genealogical research.,https://www.slcl.org/resources/familysearch,Website
FDLP Desktop,"Provides news, contacts, information, and communication for and about the Federal Depository Library Program.",https://www.slcl.org/resources/fdlp-desktop,Website
Federal Register,"Search the Federal Register, the official publication for Notices, Rules, and Proposed Rules from Federal Agencies and Organizations as well as Presidential Documents and Executive Orders.",https://www.slcl.org/resources/federal-register,Website
Fiction Core Collections,"Includes Children's Core Collection, Graphic Novels Core Collection, Middle and Junior High Core Collection, Fiction Core Collection, Public Library Core Collection: Nonfiction, and Senior High Core Collection; created with the input of librarians, each catalog is a guide to thousands of books, plus review sources and other professional aids for librarians and school media specialists.  [H.W. Wilson]",https://www.slcl.org/resources/fiction-core-collection,Subscription Database
Financial Literacy,"Database makes economics and personal finance easy to understand and highly engaging. Articles explore macro-, micro- and global economics as well as personal and household finance. Beneficial for grades 7-12 as well as adults.",https://www.slcl.org/resources/financial-literacy,Subscription Database
"Find Your Polling Place, Ballot Issues, Elected Officials - St. Louis County","Check your registration information and polling place, see a sample ballot, or view recent announcements regarding upcoming elections. There is also an election cycle calendar.",https://www.slcl.org/resources/st-louis-county-board-of-elections,Website
Findmypast (In Library Use Only),"Findmypast offers searchable databases for censuses of the British Isles; civil, military, and church records; newspapers, and more. Coverage includes records for the U.S., Great Britain, Ireland, Canada, Australia, and New Zealand.",https://www.slcl.org/resources/findmypast,Subscription Database
Fire Insurance Maps Online (FIMo),"Find high definition, color fire insurance maps, real estate atlases, plat books, and other historical maps for Missouri and Illinois.",https://www.slcl.org/resources/fire-insurance-maps-online,Subscription Database
First Research,Access to First Research 500+ industry reports are now located in D&B Hoovers.,https://www.slcl.org/resources/first-research,Subscription Database
FirstSearch,Provides access to MOGroupCatalog and WorldCat.,https://www.slcl.org/resources/firstsearch,Subscription Database
Flipster,Browse digital magazines on  your computer or mobile device.,https://www.slcl.org/resources/flipster,
Fold3®,"Provides convenient access to US military records, including the stories, photos and personal documents of the men and women who served. Library card required to use.",https://www.slcl.org/resources/fold3,Subscription Database
Foreign Trade,"Provides information on U.S. international trade data, reports and news.",https://www.slcl.org/resources/foreign-trade,Website
Forvo,Find a pronunciation dictionary with recordings from around the world and other language learning resources.,https://www.slcl.org/resources/forvo,Website
Foundation Directory Online (In Library Use Only),"Access detailed information on grant makers, grants, and grant recipients, as well as access to grant maker web sites and searchable 990s.",https://www.slcl.org/resources/foundation-directory-online,Subscription Database
FRED,"Federal Reserve Economic Data (FRED) is a database maintained by the Research division of the Federal Reserve Bank of St. Louis that has more than 816,000 economic time series from various sources.",https://www.slcl.org/resources/fred,Website
Freerice,"Take educational quizzes on English, geography, math, and science. Ad revenue goes to the United Nations World Food Programme to provide help for children and their families.",https://www.slcl.org/resources/freerice,Website
Fun 4 STL Kids,"Find homeschool activities throughout the St. Louis area, including sports teams, educational programs, and fun events.",https://www.slcl.org/resources/fun-4-stl-kids,Website
Funbrain,"Free educational games, books, comics, and videos for students in Pre-K through 8th grade.",https://www.slcl.org/resources/funbrain,Website
Funk & Wagnalls New World Encyclopedia,"Indexes over 25,000 full-text encyclopedic records covering an array of subject areas.",https://www.slcl.org/resources/funk-wagnalls-new-world-encyclopedia,Subscription Database
FutureLearn,Participate in university courses on a variety of subjects. Courses are free for the duration of the course + 14 days.,https://www.slcl.org/resources/futurelearn,Website
Gale Business: Entrepreneurship,"Covers starting and operating a business, includes business journals and a wide selection of sample business plans.",https://www.slcl.org/resources/gale-business-entrepreneurship,Subscription Database
Gale Collections,"Access all the Gale databases the Library currently subscribes to, such as, Gale OneFile and Gale In Context databases.",https://www.slcl.org/resources/gale-collections,Subscription Database
Gale Directory Library,"A digital platform that lets users access directories of companies, organizations, publications, people, products, and more.",https://www.slcl.org/resources/gale-directory-library,Subscription Database
Gale In Context: High School,A collection of databases designed to help high school students with a variety of school assignments.,https://www.slcl.org/resources/gale-in-context-high-school,Subscription Database
Gale in Context: U.S. History,Covers people and events of historical significance in American history from Pre-Columbian America forward.,https://www.slcl.org/resources/gale-in-context-us-history,Subscription Database
Gale OneFile: Health and Medicine,"Integrates the full text of respected nursing, allied health and medical journals; consumer health magazines; newsletters topical overviews; and reference books.",https://www.slcl.org/resources/gale-onefile-health-medicine,Subscription Database
General Land Office (Bureau of Land Management),"Provides live access to federal land conveyance records for the Public Land States, including image access to more than five million federal land title records issued between 1820 and the present.",https://www.slcl.org/resources/general-land-office-bureau-of-land-management,Website
Geographic Names Information System,The online GNIS Database provides information about geographic place names in the United States as is commonly found in a printed gazetteer. [United States Geologic Survey],https://www.slcl.org/resources/geographic-names-information-system,Website
GoNoodle,Videos for teaching movement and mindfulness for students in kindergarten through 5th grade.,https://www.slcl.org/resources/gonoodle,Website
Goodreads,"The social media site for book lovers, Goodreads allows readers to write and read reviews, as well as connect to other readers.",https://www.slcl.org/resources/goodreads,Website
Google Arts and Culture,"Explore global arts and culture with virtual museum tours, exhibits, articles, and games.",https://www.slcl.org/resources/google-arts-and-culture,Website
Google Teach from Anywhere,A collection of Google resources and tutorials designed to help teachers teach remotely.,https://www.slcl.org/resources/google-teach-anywhere,Website
gov.info,"Free, public access to official publications from all three branches of the federal government.",https://www.slcl.org/resources/govinfo,Website
Guidestar,"Search for charitable status, explore comprehensive profiles of over 2 million nonprofits, and research outstanding partnership opportunities and best practices to aid strategic planning.",https://www.slcl.org/resources/guidestar,Subscription Database
Gun Regulation and Legislation in America (HeinOnline),Database brings together essential documents on the difficult and controversial topic of regulating firearms in the United States.,https://www.slcl.org/resources/gun-regulation-and-legislation-america,Subscription Database
Harvard University Free Online Courses,Free online courses on a variety of subjects from Harvard University.,https://www.slcl.org/resources/harvard-university-free-online-courses,Website
HarvardX,Free online courses from Harvard University.,https://www.slcl.org/resources/harvardx,Website
HathiTrust Digital Library,"A partnership of academic and research institutions, offering a collection of millions of titles digitized from libraries around the world.",https://www.slcl.org/resources/hathitrust-digital-library,Website
Headspace,"Meditation and mindfulness techniques available online so more people can experience the benefits of meditation anytime, anywhere.",https://www.slcl.org/resources/headspace,Subscription Database
HeinOnline,Full-text law-related subject and title collections that are image-based and fully searchable.,https://www.slcl.org/resources/heinonline,Subscription Database
HeritageHub,Explore your family history with the premier collection of U.S. obituaries and death notices for in-depth genealogical research from 1704 – today.,https://www.slcl.org/resources/heritagehub,Subscription Database
HeritageQuest Online,"Access U.S. Census records from 1790 to 1940, full text of local and family history books, Revolutionary War Pension & Bounty-Land Warrant applications, and Freedman's Bank records.",https://www.slcl.org/resources/heritagequest-online,Subscription Database
Highlights Kids,"Access games, videos, audios, craft activities, recipes, and podcasts for students in kindergarten through 6th grade.",https://www.slcl.org/resources/highlights-kids,Website
HippoCampus,"Find more than 7,000 videos in 13 subject areas to share with students. Teachers can set up playlists for their students too.",https://www.slcl.org/resources/hippocampus,Website
Hispanic Life in America,"Includes more than 17,000 global news sources and over 700 Spanish-language or bilingual publications dating from 1704 to today.",https://www.slcl.org/resources/hispanic-life-america,Subscription Database
Historic American Sheet Music,Access digital images of over 3000 pieces published in the United States between 1850 and 1920.,https://www.slcl.org/resources/historic-american-sheet-music,Website
Historical New York Times,"Access historical issues of the New York Times through our regular NYT Subscription and accessing the TimesMachine, which has access from 1851-2002.",https://www.slcl.org/resources/historical-new-york-times,Subscription Database
Historical St. Louis Post-Dispatch,Searchable full text and full image articles from the St. Louis Post-Dispatch newspaper from 1874-2003. [ProQuest],https://www.slcl.org/resources/historical-st-louis-post-dispatch,Subscription Database
History Commons,The History Commons is a website and organization that documents events and issues of great social and political significance via detailed timelines.,https://www.slcl.org/resources/history-commons,Subscription Database
History Timelines,Key events in United States history.,https://www.slcl.org/resources/history-timelines,Website
HistoryGeo,HistoryGeo provides a searchable database of 12.3 million names connected to land ownership maps covering the 29 public land states and Texas.,https://www.slcl.org/resources/historygeo,Subscription Database
Home Improvement Source,Provides assistance for improvement projects inside and outside the home. [EBSCO],https://www.slcl.org/resources/home-improvement-source,Subscription Database
Homeland Security Digital Library,"Access the Homeland Security Digital Library (HSDL), a database of over 50,00 non-classified presidential directives, policy and national strategy documents, as well as specialized resources related to Homeland Security. [Naval Postgraduate School]",https://www.slcl.org/resources/homeland-security-digital-library,Website
Hoopla,"A streaming platform for audiobooks, comics, eBooks, movies, music and TV.",https://www.slcl.org/resources/hoopla,
How Stuff Works,"Informative articles, videos, and podcasts on a variety of subjects ranging from science to culture.",https://www.slcl.org/resources/how-stuff-works,Website
Illinois State Archives--Illinois Statewide Death Index (1916–1950),Listings of death certificates filed with the Illinois Department of Public Health between 1916 and 1950.,https://www.slcl.org/resources/illinois-state-archives-death-index,Website
"Illinois State Archives--Illinois Statewide Marriage Index, 1763-1900","Includes the names of the groom and bride, the date of the marriage or issuance of the license, the name of the county in which the marriage was performed, and a citation to the original record.",https://www.slcl.org/resources/illinois-state-archives-marriage-index,Website
Immigrant and Refugee Resource Ecosystem Map - St. Louis Region,St. Louis has a vast array of resources dedicated to immigrants and refugees in the region which are all interconnected. The Clark-Fox Family Foundation has compiled a map depicting how these organizations are connected within the landscape.,https://www.slcl.org/resources/immigrant-and-refugee-resource-ecosystem-map,Website
Independent News,"Searchable full text access to this weekly newspaper featuring community news, events, and announcements for the Florissant Valley area, including Black Jack, Florissant, Hazelwood, and Spanish Lake.",https://www.slcl.org/resources/independent-news,Subscription Database
International Digital Children's Library,Free public domain children's books in a variety of languages.,https://www.slcl.org/resources/international-digital-childrens-library,Website
Interplay Achieve (formerly SkillMill),"Skilled trades training courses online on HVAC, solar, plumbing, electrical and more. Develop skills at your own pace through expert-led video lessons and digital training simulations.",https://www.slcl.org/resources/interplay-achieve,
"IRS Federal Forms, Instructions, & Publications","Access federal forms, instructions and publications for current and prior year. Search by title, form number, or publication date.",https://www.slcl.org/resources/irs-federal-forms-instructions-publications,Website
IRS Small Business and Self-Employed Tax Center,Provides links and resources related to tax information for both small business and self-employed.,https://www.slcl.org/resources/irs-small-business-self-employed-center,Website
Kahoot,Create games and quizzes to engage students in classroom content.,https://www.slcl.org/resources/kahoot,Website
Kanopy,"Video streaming service with over 30,000 award-winning, rare and hard-to-find titles.",https://www.slcl.org/resources/kanopy,
